sample,raw,filtered
712,1580.0,393.0
713,2230.0,412.0
714,2226.0,431.0
715,2228.0,456.0
716,2227.0,498.0
717,2233.0,561.0
718,2235.0,611.0
719,2234.0,555.0
720,2232.0,247.0
721,2228.0,-474.0
722,2235.0,-1694.0
723,2230.0,-3304.0
724,2221.0,-4970.0
725,2231.0,-6196.0
726,2231.0,-6477.0
727,2070.0,-5480.0
728,1777.0,-3184.0
729,1467.0,84.0
730,927.0,3733.0
731,680.0,4400.0
732,855.0,4497.0
733,243.0,-365.0
734,575.0,-2938.0
735,749.0,-5168.0
736,555.0,-6607.0
737,277.0,-7075.0
738,340.0,-6664.0
739,702.0,-5612.0
740,860.0,-4179.0
741,615.0,-2618.0
742,268.0,-1177.0
743,279.0,-67.0
744,670.0,597.0
745,943.0,817.0
746,763.0,647.0
747,391.0,167.0
748,388.0,-494.0
749,740.0,-1156.0
750,964.0,-1635.0
751,787.0,-1841.0
752,462.0,-1795.0
753,469.0,-1568.0
754,835.0,-1220.0
755,638.0,-186.0
756,669.0,-112.0
757,1024.0,-150.0
758,1274.0,-192.0
759,1152.0,-176.0
760,851.0,-125.0
761,863.0,-88.0
762,1203.0,-79.0
763,1536.0,-76.0
764,1428.0,-79.0
765,1110.0,-120.0
766,1078.0,-214.0
767,1426.0,-320.0
768,1693.0,-376.0
769,1535.0,-362.0
770,1185.0,-315.0
771,1123.0,-273.0
772,1444.0,-225.0
773,1715.0,-139.0
774,1588.0,-16.0
775,1232.0,93.0
776,1156.0,152.0
777,1458.0,190.0
778,1722.0,273.0
779,1606.0,435.0
780,1302.0,645.0
781,1222.0,846.0
782,1551.0,1016.0
783,1855.0,1160.0
784,1734.0,1265.0
785,1368.0,1283.0
786,1269.0,1179.0
787,1591.0,987.0
788,1379.0,432.0
789,1296.0,230.0
790,1592.0,7.0
791,1880.0,-180.0
792,1794.0,-293.0
793,1433.0,-344.0
794,1321.0,-360.0
795,1600.0,-329.0
796,1883.0,-216.0
797,1801.0,-27.0
798,1469.0,171.0
799,1336.0,304.0
800,1586.0,352.0
801,1854.0,355.0
802,1774.0,341.0
803,1447.0,291.0
804,1340.0,181.0
805,1642.0,39.0
806,1975.0,-69.0
807,1877.0,-113.0
808,1500.0,-119.0
809,1299.0,239.0
810,1505.0,343.0
811,1517.0,233.0
812,1327.0,54.0
813,1551.0,-179.0
814,1911.0,-395.0
815,1885.0,-537.0
816,1544.0,-605.0
817,1321.0,-628.0
818,1552.0,-609.0
819,1901.0,-523.0
820,1896.0,-373.0
821,1524.0,-217.0
822,1287.0,-129.0
823,1480.0,-128.0
824,1826.0,-165.0
825,1833.0,-187.0
826,1487.0,-189.0
827,1271.0,-195.0
828,1460.0,-205.0
829,1821.0,-180.0
830,1833.0,-98.0
831,1479.0,10.0
832,1252.0,93.0
833,1805.0,229.0
834,1466.0,275.0
835,1223.0,248.0
836,1401.0,135.0
837,1751.0,-12.0
838,1819.0,-134.0
839,1512.0,-220.0
840,1269.0,-298.0
841,1455.0,-367.0
842,1862.0,-385.0
843,2007.0,-325.0
844,1793.0,-218.0
845,1640.0,-132.0
846,1857.0,-92.0
847,2190.0,-73.0
848,2131.0,-46.0
849,1725.0,-30.0
850,1398.0,-71.0
851,1524.0,-180.0
852,1841.0,-319.0
853,1899.0,-457.0
854,1422.0,-1112.0
855,1773.0,-1296.0
856,1848.0,-1250.0
857,1518.0,-902.0
858,1210.0,-279.0
859,1336.0,527.0
860,1706.0,1401.0
861,1795.0,2184.0
862,1520.0,2688.0
863,1233.0,2763.0
864,1352.0,2395.0
865,1696.0,1720.0
866,1804.0,936.0
867,1538.0,195.0
868,1240.0,-427.0
869,1319.0,-887.0
870,1666.0,-1145.0
871,1784.0,-1193.0
872,1525.0,-1090.0
873,1242.0,-931.0
874,1316.0,-780.0
875,1674.0,-640.0
876,1270.0,-248.0
877,1389.0,-198.0
878,1765.0,-153.0
879,1907.0,-70.0
880,1656.0,39.0
881,1347.0,119.0
882,1430.0,132.0
883,1775.0,101.0
884,1934.0,69.0
885,1689.0,39.0
886,1359.0,-23.0
887,1399.0,-132.0
888,1746.0,-244.0
889,1955.0,-302.0
890,1696.0,-295.0
891,1350.0,-258.0
892,1368.0,-219.0
893,1710.0,-156.0
894,1910.0,-34.0
895,1676.0,134.0
896,1339.0,288.0
897,1366.0,380.0
898,1709.0,419.0
899,1896.0,443.0
900,1655.0,459.0
901,1277.0,435.0
902,1303.0,356.0
903,1664.0,260.0
904,1873.0,198.0
905,1631.0,177.0
906,1269.0,152.0
907,1248.0,85.0
908,1585.0,-1.0
909,1810.0,-55.0
910,1578.0,-55.0
911,1195.0,-33.0
912,1152.0,-25.0
913,1475.0,-22.0
914,1705.0,8.0
915,1483.0,61.0
916,1136.0,89.0
917,1069.0,60.0
918,1394.0,6.0
919,1623.0,-11.0
920,1434.0,25.0
921,1074.0,75.0
922,1016.0,93.0
923,1316.0,91.0
924,1583.0,108.0
925,1410.0,148.0
926,1040.0,164.0
927,994.0,120.0
928,1325.0,34.0
929,1573.0,-40.0
930,1389.0,-83.0
931,1202.0,-128.0
932,1467.0,-90.0
933,862.0,51.0
934,1166.0,32.0
935,1448.0,35.0
936,1321.0,79.0
937,1002.0,123.0
938,879.0,121.0
939,1151.0,84.0
940,1409.0,63.0
941,1295.0,86.0
942,964.0,122.0
943,843.0,125.0
944,1105.0,97.0
945,1394.0,70.0
946,1293.0,52.0
947,916.0,11.0
948,783.0,-79.0
949,1067.0,-186.0
950,1394.0,-238.0
951,1299.0,-202.0
952,948.0,-116.0
953,806.0,-40.0
954,1055.0,9.0
955,1363.0,59.0
956,1275.0,125.0
957,932.0,177.0
958,778.0,177.0
959,1016.0,127.0
960,1311.0,73.0
961,1289.0,38.0
962,955.0,-2.0
963,777.0,-79.0
964,1027.0,-174.0
965,1338.0,-224.0
966,1281.0,-190.0
967,917.0,-102.0
968,726.0,-16.0
969,937.0,43.0
970,1262.0,96.0
971,1252.0,151.0
972,927.0,175.0
973,750.0,129.0
974,975.0,28.0
975,1308.0,-66.0
976,1272.0,-103.0
977,957.0,-88.0
978,771.0,-51.0
979,991.0,0.0
980,1307.0,82.0
981,1292.0,191.0
982,970.0,270.0
983,800.0,249.0
984,975.0,127.0
985,1253.0,-31.0
986,1220.0,-159.0
987,887.0,-242.0
988,682.0,-301.0
989,904.0,-334.0
990,1212.0,-307.0
991,1207.0,-206.0
992,890.0,-76.0
993,689.0,22.0
994,911.0,79.0
995,1246.0,141.0
996,1277.0,248.0
997,939.0,375.0
998,699.0,460.0
999,874.0,474.0
1000,1505.0,-2.0
1001,1214.0,153.0
1002,1516.0,249.0
1003,1094.0,182.0
1004,751.0,-6.0
1005,855.0,-345.0
1006,1206.0,-781.0
1007,1296.0,-1213.0
1008,977.0,-1545.0
1009,674.0,-1683.0
1010,774.0,-1526.0
1011,1101.0,-981.0
1012,1180.0,-45.0
1013,893.0,1138.0
1014,610.0,2313.0
1015,702.0,3231.0
1016,1062.0,3733.0
1017,1192.0,3753.0
1018,921.0,3286.0
1019,627.0,2398.0
1020,697.0,1251.0
1021,1046.0,86.0
1022,1166.0,-875.0
1023,889.0,-1527.0
1024,1053.0,-1838.0
1025,1204.0,-1557.0
1026,914.0,-1210.0
1027,598.0,-901.0
1028,682.0,-676.0
1029,1035.0,-508.0
1030,1194.0,-347.0
1031,942.0,-192.0
1032,656.0,-85.0
1033,722.0,-50.0
1034,1056.0,-56.0
1035,1203.0,-55.0
1036,1076.0,-101.0
1037,1272.0,-90.0
1038,1034.0,-48.0
1039,754.0,-31.0
1040,800.0,-70.0
1041,1160.0,-129.0
1042,1336.0,-147.0
1043,1104.0,-112.0
1044,787.0,-64.0
1045,822.0,-41.0
1046,1152.0,-31.0
1047,765.0,424.0
1048,771.0,479.0
1049,1109.0,465.0
1050,1339.0,419.0
1051,1126.0,355.0
1052,782.0,247.0
1053,750.0,87.0
1054,1059.0,-74.0
1055,1272.0,-167.0
1056,1095.0,-166.0
1057,755.0,-113.0
1058,707.0,-60.0
1059,1048.0,-15.0
1060,1280.0,40.0
1061,1127.0,102.0
1062,783.0,129.0
1063,732.0,96.0
1064,1059.0,42.0
1065,1308.0,25.0
1066,1148.0,60.0
1067,786.0,100.0
1068,739.0,95.0
1069,1082.0,50.0
1070,1380.0,3.0
1071,1197.0,-33.0
1072,828.0,-88.0
1073,758.0,-178.0
1074,1061.0,-274.0
1075,1320.0,-314.0
1076,1181.0,-280.0
1077,818.0,-211.0
1078,728.0,-161.0
1079,1012.0,-136.0
1080,1281.0,-103.0
1081,1186.0,-51.0
1082,871.0,-9.0
1083,778.0,-5.0
1084,1056.0,-13.0
1085,1328.0,22.0
1086,1228.0,116.0
1087,880.0,221.0
1088,741.0,279.0
1089,1018.0,286.0
1090,1296.0,276.0
1091,1216.0,258.0
1092,880.0,197.0
1093,785.0,64.0
1094,1066.0,-110.0
1095,1283.0,-256.0
1096,1180.0,-326.0
1097,847.0,-330.0
1098,731.0,-294.0
1099,986.0,-217.0
1100,1291.0,-82.0
1101,1218.0,89.0
1102,861.0,222.0
1103,709.0,251.0
1104,996.0,186.0
1105,1292.0,101.0
1106,1212.0,56.0
1107,868.0,48.0
1108,728.0,46.0
1109,982.0,38.0
1110,1259.0,47.0
1111,1204.0,75.0
1112,856.0,84.0
1113,700.0,34.0
1114,937.0,-58.0
1115,1266.0,-133.0
1116,1218.0,-149.0
1117,877.0,-131.0
1118,721.0,-124.0
1119,970.0,-135.0
1120,1289.0,-124.0
1121,1238.0,-64.0
1122,874.0,17.0
1123,698.0,72.0
1124,952.0,84.0
1125,1277.0,83.0
1126,1258.0,88.0
1127,920.0,73.0
1128,713.0,2.0
1129,933.0,-108.0
1130,1255.0,-197.0
1131,1248.0,-216.0
1132,929.0,-179.0
1133,740.0,-132.0
1134,942.0,-93.0
1135,1252.0,-41.0
1136,1241.0,34.0
1137,899.0,98.0
1138,708.0,106.0
1139,933.0,63.0
1140,1277.0,23.0
1141,1271.0,26.0
1142,917.0,49.0
1143,691.0,43.0
1144,909.0,0.0
1145,1252.0,-35.0
1146,1252.0,-24.0
1147,899.0,20.0
1148,648.0,48.0
1149,839.0,42.0
1150,1210.0,28.0
1151,1241.0,32.0
1152,939.0,38.0
1153,691.0,9.0
1154,864.0,-46.0
1155,1223.0,-78.0
1156,1292.0,-44.0
1157,997.0,35.0
1158,760.0,102.0
1159,912.0,128.0
1160,1285.0,135.0
1161,1304.0,144.0
1162,962.0,136.0
1163,709.0,69.0
1164,858.0,-54.0
1165,1207.0,-183.0
1166,1298.0,-267.0
1167,1002.0,-306.0
1168,719.0,-336.0
1169,895.0,-366.0
1170,1295.0,-356.0
1171,1468.0,-267.0
1172,1300.0,-114.0
1173,1113.0,50.0
1174,1284.0,192.0
1175,1635.0,318.0
1176,1712.0,429.0
1177,1355.0,489.0
