sample,raw,filtered
831,2287.0,-408.0
832,2284.0,-407.0
833,2279.0,-405.0
834,2284.0,-402.0
835,2281.0,-398.0
836,2277.0,-395.0
837,2283.0,-392.0
838,2288.0,-388.0
839,2282.0,-383.0
840,2282.0,-378.0
841,2279.0,-373.0
842,2281.0,-368.0
843,2281.0,-363.0
844,2274.0,-357.0
845,2281.0,-350.0
846,2283.0,-343.0
847,2277.0,-337.0
848,2288.0,-330.0
849,2283.0,-322.0
850,2282.0,-313.0
851,2284.0,-305.0
852,2284.0,-251.0
853,2288.0,-242.0
854,2290.0,-231.0
855,2278.0,-221.0
856,2283.0,-211.0
857,2287.0,-201.0
858,2280.0,-192.0
859,2184.0,-183.0
860,1883.0,-175.0
861,2037.0,-168.0
862,2208.0,-160.0
863,1475.0,-151.0
864,174.0,-141.0
865,-28.0,-132.0
866,20.0,-121.0
867,382.0,-109.0
868,336.0,-100.0
869,-20.0,-98.0
870,-25.0,-104.0
871,143.0,-118.0
872,470.0,-151.0
873,422.0,-232.0
874,53.0,-399.0
875,-16.0,-675.0
876,268.0,-1050.0
877,664.0,-1480.0
878,622.0,-1904.0
879,244.0,-2253.0
880,-12.0,-2459.0
881,238.0,-2477.0
882,616.0,-2304.0
883,567.0,-1991.0
884,158.0,-1614.0
885,49.0,-261.0
886,-22.0,-120.0
887,-24.0,7.0
888,143.0,132.0
889,136.0,250.0
890,-23.0,348.0
891,-23.0,416.0
892,-20.0,456.0
893,-22.0,477.0
894,-19.0,489.0
895,-16.0,494.0
896,-21.0,492.0
897,-25.0,488.0
898,-15.0,482.0
899,-25.0,478.0
900,-16.0,475.0
901,-23.0,473.0
902,-21.0,474.0
903,-23.0,483.0
904,-21.0,501.0
905,-21.0,531.0
906,-27.0,570.0
907,-25.0,611.0
908,-25.0,650.0
909,-24.0,688.0
910,-23.0,726.0
911,-19.0,796.0
912,-27.0,822.0
913,-21.0,841.0
914,-19.0,858.0
915,-16.0,874.0
916,-16.0,887.0
917,-21.0,894.0
918,-22.0,897.0
919,-19.0,899.0
920,-23.0,901.0
921,-16.0,902.0
922,-20.0,899.0
923,-22.0,884.0
924,-20.0,878.0
925,193.0,870.0
926,483.0,859.0
927,253.0,848.0
928,-22.0,837.0
929,-25.0,825.0
930,-25.0,809.0
931,-20.0,792.0
932,-19.0,772.0
933,-16.0,753.0
934,-25.0,740.0
935,-19.0,739.0
936,-20.0,757.0
937,-22.0,793.0
938,-22.0,835.0
939,-22.0,864.0
940,-22.0,863.0
941,-18.0,823.0
942,-22.0,743.0
943,-25.0,309.0
944,-14.0,284.0
945,-22.0,261.0
946,-22.0,243.0
947,-21.0,232.0
948,-25.0,224.0
949,-21.0,215.0
950,-25.0,204.0
951,-19.0,191.0
952,-22.0,177.0
953,-23.0,162.0
954,-21.0,144.0
955,-22.0,126.0
956,-19.0,108.0
957,-19.0,92.0
958,-19.0,62.0
959,-22.0,46.0
960,-22.0,31.0
961,-27.0,16.0
962,-21.0,3.0
963,-23.0,-10.0
964,-20.0,-24.0
965,-18.0,-37.0
966,-25.0,-49.0
967,-21.0,-59.0
968,-25.0,-71.0
969,171.0,-83.0
970,448.0,-94.0
971,276.0,-105.0
972,19.0,-116.0
973,245.0,-128.0
974,722.0,-140.0
975,875.0,-152.0
976,508.0,-164.0
977,176.0,-176.0
978,388.0,-183.0
979,918.0,-178.0
980,1115.0,-155.0
981,458.0,-67.0
982,504.0,-7.0
983,981.0,63.0
984,1167.0,139.0
985,846.0,206.0
986,498.0,250.0
987,588.0,271.0
988,1040.0,277.0
989,1274.0,277.0
990,1054.0,269.0
991,713.0,250.0
992,721.0,225.0
993,1156.0,203.0
994,1415.0,183.0
995,1105.0,153.0
996,566.0,104.0
997,476.0,41.0
998,898.0,-20.0
999,1163.0,-68.0
1000,932.0,-100.0
1001,544.0,-121.0
1002,492.0,-132.0
1003,919.0,-129.0
1004,1270.0,-118.0
1005,1123.0,-113.0
1006,704.0,-132.0
1007,649.0,-184.0
1008,1118.0,-262.0
1009,1475.0,-354.0
1010,1303.0,-450.0
1011,854.0,-543.0
1012,752.0,-619.0
1013,1179.0,-662.0
1014,1609.0,-664.0
1015,1079.0,-575.0
1016,973.0,-515.0
1017,1342.0,-452.0
1018,1719.0,-389.0
1019,1684.0,-332.0
1020,1295.0,-291.0
1021,1175.0,-269.0
1022,1502.0,-258.0
1023,1795.0,-249.0
1024,1620.0,-237.0
1025,1174.0,-225.0
1026,928.0,-215.0
1027,1236.0,-202.0
1028,1602.0,-183.0
1029,1570.0,-161.0
1030,1175.0,-141.0
1031,966.0,-131.0
1032,1200.0,-129.0
1033,1633.0,-131.0
1034,1682.0,-143.0
1035,1295.0,-173.0
1036,1027.0,-231.0
1037,2022.0,-483.0
1038,1856.0,-553.0
1039,1952.0,-604.0
1040,2280.0,-630.0
1041,2280.0,-625.0
1042,2281.0,-595.0
1043,2278.0,-552.0
1044,2285.0,-510.0
1045,2288.0,-474.0
1046,2278.0,-436.0
1047,2285.0,-384.0
1048,2279.0,-304.0
1049,2283.0,-192.0
1050,2279.0,-51.0
1051,2288.0,107.0
1052,2287.0,266.0
1053,2287.0,401.0
1054,2290.0,488.0
1055,2282.0,510.0
1056,2283.0,468.0
1057,2277.0,376.0
1058,2288.0,262.0
1059,2283.0,-58.0
1060,2286.0,-132.0
1061,2289.0,-181.0
1062,2283.0,-212.0
1063,2287.0,-237.0
1064,2284.0,-265.0
1065,2277.0,-295.0
1066,2284.0,-322.0
1067,2286.0,-344.0
1068,2275.0,-364.0
1069,2279.0,-384.0
1070,2278.0,-400.0
1071,2284.0,-408.0
1072,2283.0,-408.0
1073,2286.0,-405.0
1074,2279.0,-405.0
1075,2279.0,-406.0
1076,2286.0,-404.0
1077,2275.0,-400.0
1078,2288.0,-396.0
1079,2278.0,-397.0
1080,2284.0,-388.0
1081,2283.0,-380.0
1082,2288.0,-374.0
1083,2289.0,-369.0
1084,2282.0,-361.0
1085,2280.0,-349.0
1086,2281.0,-339.0
1087,2286.0,-332.0
1088,2293.0,-326.0
1089,2279.0,-317.0
1090,2259.0,-305.0
1091,2152.0,-293.0
1092,2281.0,-284.0
1093,2282.0,-275.0
1094,2281.0,-264.0
1095,2191.0,-251.0
1096,2082.0,-238.0
1097,2288.0,-228.0
1098,2284.0,-219.0
1099,2284.0,-209.0
1100,2200.0,-200.0
1101,2095.0,-194.0
1102,2209.0,-184.0
1103,2056.0,-180.0
1104,2278.0,-174.0
1105,2284.0,-165.0
1106,2284.0,-151.0
1107,2126.0,-133.0
1108,1861.0,-114.0
1109,2176.0,-96.0
1110,2281.0,-77.0
1111,2275.0,-58.0
1112,1997.0,-40.0
1113,1762.0,-27.0
1114,2068.0,-17.0
1115,1910.0,9.0
1116,1693.0,7.0
1117,1990.0,0.0
1118,2278.0,-8.0
1119,2249.0,-13.0
1120,1795.0,-19.0
1121,1543.0,-26.0
1122,1828.0,-30.0
1123,2256.0,-25.0
1124,2187.0,-13.0
1125,1666.0,0.0
1126,1363.0,9.0
1127,1633.0,17.0
1128,2121.0,31.0
1129,2239.0,48.0
1130,1830.0,59.0
1131,1449.0,59.0
1132,1566.0,53.0
1133,1814.0,51.0
1134,1729.0,53.0
1135,1246.0,52.0
1136,701.0,41.0
1137,581.0,26.0
1138,844.0,20.0
1139,947.0,31.0
1140,532.0,56.0
1141,-22.0,86.0
1142,-22.0,119.0
1143,-25.0,149.0
1144,-22.0,162.0
1145,-24.0,134.0
1146,-28.0,48.0
1147,-24.0,-93.0
1148,-22.0,-268.0
1149,-18.0,-449.0
1150,-20.0,-613.0
1151,-21.0,-749.0
1152,-23.0,-849.0
1153,101.0,-913.0
1154,430.0,-937.0
1155,303.0,-924.0
1156,-25.0,-876.0
1157,-25.0,-794.0
1158,171.0,-675.0
1159,420.0,-520.0
1160,303.0,-339.0
1161,-20.0,-148.0
1162,-18.0,33.0
1163,298.0,195.0
1164,596.0,339.0
1165,434.0,467.0
1166,72.0,578.0
1167,50.0,667.0
1168,463.0,732.0
1169,801.0,773.0
1170,656.0,793.0
1171,189.0,791.0
1172,88.0,775.0
1173,458.0,757.0
1174,849.0,749.0
1175,790.0,755.0
1176,374.0,767.0
1177,257.0,781.0
1178,706.0,798.0
1179,1139.0,820.0
1180,1033.0,842.0
1181,608.0,854.0
1182,456.0,850.0
1183,776.0,836.0
1184,1154.0,818.0
1185,1122.0,800.0
1186,742.0,781.0
1187,568.0,763.0
1188,876.0,755.0
